配当年度,科目キー,授業実施科目キー,科目クラスコード,合併科目区分,漢字科目名,英字科目名,クラス名称,英字クラス名称,科目名付クラス名,英字科目名付クラス名,クラス開講区分,クラス開講区分名称,学期コード,学期名称,曜日コード,曜日名称,時限コード,時限名称,学部コード,学部など,単位数,科目区分キー,科目区分名称,授業キャンパスコード,授業キャンパス,配当年次,授業方法区分,授業方法区分名称
2023,2600001002,2600001002,01,3,日常生活とリスク,Risks in Everyday Life,,,日常生活とリスク,Risks in Everyday Life,0,開講,12,春学期 ,3,水,22,２時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001003,2600001003,01,3,21世紀における科学技術と社会,"Science, Technology, and Society in the 21st Century(2006)",,,21世紀における科学技術と社会,"Science, Technology, and Society in the 21st Century(2006)",4,休講,13,秋学期 ,1,月,44,４時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,9,
2023,2600001004,2600001004,01,3,国際保健医療論,Introduction to Global Health and Social Medicine,,,国際保健医療論,Introduction to Global Health and Social Medicine ,0,開講,13,秋学期 ,5,金,22,２時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001005,2600001005,01,3,開発協力論,Development Cooperation,,,開発協力論,Development Cooperation,0,開講,12,春学期 ,5,金,44,４時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001006,2600001006,01,3,現代経済の構造と変容,Structure and Change of the Modern Economy,,,現代経済の構造と変容,Structure and Change of the Modern Economy,0,開講,12,春学期 ,2,火,44,４時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,A,【対面】
2023,2600001007,2600001007,01,3,企業行動と経営,Corporate Behavior & Management,,,企業行動と経営,Corporate Behavior & Management,0,開講,13,秋学期 ,5,金,44,４時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,A,【対面】
2023,2600001011,2600001011,01,3,変革期の社会と心理,Society & Psychology in a Period of Change,,,変革期の社会と心理,Society & Psychology in a Period of Change,0,開講,12,春学期 ,1,月,55,５時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001012,2600001012,01,3,高度情報社会における人間関係,Human Relationships in the Advanced Information Society,,,高度情報社会における人間関係,Human Relationships in the Advanced Information Society,0,開講,13,秋学期 ,2,火,44,４時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001013,2600001013,01,3,ストレスと自殺,Stress & Suicide,,,ストレスと自殺,Stress & Suicide,0,開講,12,春学期 ,2,火,33,３時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001015,2600001015,01,3,科学技術とコミュニケーション,"Science,Technology and Communication",,,科学技術とコミュニケーション,"Science,Technology and Communication",4,休講,13,秋学期 ,4,木,44,４時限 ,26,A群：複合領域,2,10103020,特論科目 選択必修,03,西早稲田（旧大久保）,２年以上,9,
2023,2600001016,2600001016,01,3,プレゼンテーションスキル,Communication Skills:Effective Presentations,,,プレゼンテーションスキル,Communication Skills:Effective Presentations,0,開講,65,集中講義（秋学期）,9,無,99,その他 ,26,A群：複合領域,2,10102020,基礎科目 選択必修,03,西早稲田（旧大久保）,１年以上,A,【対面】
2023,2600001018,2600001018,01,3,産業社会のメンタルヘルス,Mental Health of Industry Society,,,産業社会のメンタルヘルス,Mental Health of Industry Society,0,開講,12,春学期 ,1,月,66,６時限 ,26,A群：複合領域,2,10101020,綜合科目 選択必修,03,西早稲田（旧大久保）,１年以上,B,【対面】ハイブリッド（対面回数半数以上）
2023,2600001021,2600001021,01,3,科学・技術の社会史,Social History of Science and Technology,,,科学・技術の社会史,Social History of Science and Technology,0,開講,12,春学期 ,2,火,44,４時限 ,26,A群：複合領域,2,10102020,基礎科目 選択必修,03,西早稲田（旧大久保）,１年以上,C,【オンライン】ハイブリッド（対面回数半数未満）
